,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Brooke Raboutou ,15,1,1,17.5,16,1,1,2,11,1,1,8.5,11,1,1,4,4,5.87
2,Ashima Shiraishi ,15,1,1,17.5,16,1,1,2,11,1,1,8.5,11,1,1,4,4,5.87
3,Lauren Bair ,15,1,1,17.5,16,1,1,2,11,1,1,8.5,11,2,8,9,4,7.19
4,Jenna Tseng ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,11,1,1,4,3,8.99
5,Natalia Grossman ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,11,1,1,4,3,8.99
6,Victoria Siegel ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,11,2,8,9,3,11.02
7,Stella Noble ,15,1,1,17.5,14,1,4,11,11,2,17,20,11,1,1,4,3,11.14
8,Olivia Ogier ,15,1,1,17.5,14,1,4,11,11,2,17,20,11,1,1,4,3,11.14
9,Ariana O'Brien ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,11,3,11,12.5,3,11.96
10,Arabella Jariel ,15,1,1,17.5,14,1,4,11,11,2,17,20,11,2,8,9,3,13.64
11,Sienna Kopf ,15,1,1,17.5,10,1,27,34,11,1,1,8.5,11,3,11,12.5,3,15.86
12,Riley Ogier ,15,2,35,39,14,2,19,21.5,11,2,17,20,11,1,1,4,3,16.09
13,Ruby Huie ,15,1,1,17.5,14,2,19,21.5,11,2,17,20,11,3,11,12.5,3,17.51
14,Thea Wulff ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,6,1,19,25,2,14.22
15,Cameron Thomson ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,6,1,19,25,2,14.22
16,Isabel Barrientos ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,6,3,38,39,2,15.89
17,Amelia Marcuson ,15,1,1,17.5,14,1,4,11,11,1,1,8.5,5,1,41,43.5,2,16.33
18,Gabrielle Lampner ,15,1,1,17.5,14,1,4,11,11,4,26,26,6,1,19,25,2,18.81
19,Arabella Walley ,13,2,47,47,14,1,4,11,11,6,27,27,11,4,15,15,2,21.39
20,Lauren Berry ,15,1,1,17.5,10,2,42,44.5,11,1,1,8.5,6,2,32,34.5,2,21.86
21,Jenny Jiang ,15,1,1,17.5,14,2,19,21.5,11,2,17,20,6,2,32,34.5,2,22.57
22,Isabella Snyders Dykeman ,15,1,1,17.5,14,2,19,21.5,11,2,17,20,5,1,41,43.5,2,23.92
23,Grace Barth ,14,1,44,44.5,10,1,27,34,11,3,24,24.5,11,3,11,12.5,2,26.09
24,Emily Herdic ,15,2,35,39,10,1,27,34,11,1,1,8.5,4,1,49,49.5,2,27.33
25,Elena Siemens ,15,2,35,39,10,1,27,34,11,3,24,24.5,6,2,32,34.5,2,32.54
26,Ellery Osborne ,15,1,1,17.5,14,1,4,11,9,1,28,32.5,6,1,19,25,1,19.89
27,Amanda Brownstein ,14,2,46,46,14,1,4,11,11,1,1,8.5,5,2,47,47,1,21.2
28,Mia Bawendi ,15,1,1,17.5,14,2,19,21.5,9,1,28,32.5,6,1,19,25,1,23.51
29,Sami Singleton ,15,2,35,39,14,2,19,21.5,9,1,28,32.5,9,4,17,17.5,1,26.28
30,Audrey Biemeret ,11,2,50,50,8,2,51,51,11,1,1,8.5,6,1,19,25,1,27.13
