,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Eric Jerome ,14,1,1,9,13,1,1,7.5,9,1,1,5,14,1,1,4.5,4,6.24
2,Kai Lightner ,14,1,1,9,13,1,1,7.5,9,1,1,5,14,1,1,4.5,4,6.24
3,Rudolph Ruana ,14,1,1,9,13,2,15,15.5,9,1,1,5,14,1,1,4.5,4,7.48
4,Sam Struthers ,14,1,1,9,13,1,1,7.5,9,2,10,11,14,1,1,4.5,4,7.6
5,Bobby Taft-Pittman ,14,1,1,9,13,1,1,7.5,9,3,13,15.5,14,2,9,10,4,10.11
6,Brett Walker ,14,1,1,9,13,2,15,15.5,9,3,13,15.5,14,4,16,16.5,4,13.74
7,Alex Astesano ,14,1,1,9,12,1,18,18.5,9,3,13,15.5,14,1,1,4.5,3,10.38
8,Justin Hall ,14,1,1,9,11,2,29,31,9,1,1,5,14,2,9,10,3,10.87
9,Philip Larosa ,14,2,18,22,11,2,29,31,9,2,10,11,14,1,1,4.5,3,13.55
10,Emmanuel Quintana ,14,1,1,9,13,1,1,7.5,9,5,21,21,10,5,27,27,3,13.99
11,Timmy Dolan ,14,1,1,9,13,1,1,7.5,9,4,19,19.5,7,1,40,40,3,15.15
12,Connor Zabrecky ,14,2,18,22,13,1,1,7.5,6,3,41,41.5,14,3,12,13.5,3,17.44
13,Zachary Levy ,14,3,27,27.5,11,3,34,35,9,3,13,15.5,14,4,16,16.5,3,22.27
14,Tanner Mack ,7,2,41,41,13,1,1,7.5,9,1,1,5,9,4,31,31,2,14.78
15,John Brock ,14,1,1,9,13,1,1,7.5,6,1,28,32,12,2,22,22.5,2,14.85
16,Gavin Robertson ,14,1,1,9,10,3,39,39,6,1,28,32,14,1,1,4.5,2,14.99
17,Akseli Palmer ,14,1,1,9,11,1,21,24.5,9,2,10,11,11,8,26,26,2,15.85
18,Gentry Cole ,14,2,18,22,11,2,29,31,9,1,1,5,13,6,20,20.5,2,16.26
19,Nicholas Romero ,14,2,18,22,12,1,18,18.5,6,3,41,41.5,14,1,1,4.5,2,16.6
20,Everett Sloane ,14,1,1,9,8,1,42,44,8,4,24,24,14,2,9,10,2,17.56
21,Levi Tracy ,14,1,1,9,13,1,1,7.5,6,1,28,32,5,1,46,46.5,2,17.8
22,Jacob Scharfman ,9,4,39,39,9,4,41,41,9,1,1,5,14,3,12,13.5,2,18.13
23,Stasio Gauza ,14,2,18,22,11,1,21,24.5,9,1,1,5,7,2,41,41,2,18.23
24,Lukas Jaekel ,14,2,18,22,11,2,29,31,9,1,1,5,8,3,38,38,2,18.97
25,Joseph Catama ,14,2,18,22,13,1,1,7.5,8,3,23,23,6,6,45,45,2,20.33
26,Alex Pearlstein ,14,2,18,22,12,2,20,20,6,1,28,32,14,3,12,13.5,2,20.88
27,Lucas Kepl ,14,4,29,29.5,13,1,1,7.5,6,6,46,46,11,4,25,25,2,22.46
28,Timothy Kang ,14,3,27,27.5,13,3,17,17,6,1,28,32,12,2,22,22.5,2,24.09
29,Max Hammer ,14,5,31,31,11,2,29,31,6,1,28,32,14,3,12,13.5,2,25.38
30,Zach Galla ,11,1,33,34,13,1,1,7.5,6,1,28,32,13,2,19,19,1,19.84
31,Jared Eckler ,6,1,42,42,13,1,1,7.5,8,2,22,22,8,4,39,39,1,22.8
32,Jonah Kreitzberg ,10,3,38,38,11,1,21,24.5,9,3,13,15.5,12,4,24,24,1,24.26
33,John Cohen ,14,1,1,9,11,3,34,35,6,1,28,32,7,4,42,42,1,25.51
34,Giacomo Mendel ,14,2,18,22,11,1,21,24.5,6,2,37,38.5,13,6,20,20.5,1,25.54
35,Daniel Reavy ,11,1,33,34,11,1,21,24.5,6,1,28,32,14,9,18,18,1,26.32
36,Finn Stack ,14,4,29,29.5,11,1,21,24.5,8,8,26,26,9,5,32,32.5,1,27.96
37,William Solz ,14,1,1,9,11,5,37,37,6,5,44,44.5,5,1,46,46.5,1,28.81
38,Cyrus Sprow ,10,2,36,36.5,8,1,42,44,9,3,13,15.5,9,3,30,30,1,29.4
39,Kevin Celommi ,6,2,43,43,8,2,47,47,9,4,19,19.5,9,5,32,32.5,1,33.64
40,Jake Fields ,8,2,40,40,11,3,34,35,8,5,25,25,9,7,34,34,,33.03
41,Jonah Phillips ,6,3,44,44,11,1,21,24.5,6,2,37,38.5,9,1,29,29,,33.12
42,Grant Dreffer ,5,1,45,46.5,11,1,21,24.5,6,2,37,38.5,6,5,44,44,,37.27
43,Kyle Fridberg ,5,1,45,46.5,8,1,42,44,7,1,27,27,9,8,35,35,,37.29
44,Dawson Jacobs ,12,3,32,32,10,1,38,38,6,2,37,38.5,5,2,48,48,,38.72
45,Jack Martinus ,10,2,36,36.5,8,1,42,44,6,4,43,43,8,1,36,36,,39.71
46,Logan Dirksen ,11,1,33,34,8,1,42,44,5,6,47,47,7,10,43,43,,41.7
47,Mercotti Sanders ,5,3,50,50,8,7,50,50,2,1,48,49,10,7,28,28,,43.04
48,Zach Dawson ,5,2,49,49,8,3,48,48.5,2,1,48,49,8,2,37,37,,45.56
49,Jacob Hearst ,5,1,45,46.5,10,4,40,40,2,1,48,49,5,5,49,49.5,,46.09
50,Brenden Jennings ,5,1,45,46.5,8,3,48,48.5,6,5,44,44.5,5,5,49,49.5,,47.21
