,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Clay Gordon ,15,1,1,22,15,1,1,11,12,1,1,10.5,12,1,1,1,4,7.1
2,Sam Mcqueen ,15,1,1,22,15,1,1,11,12,1,1,10.5,12,2,2,2,4,8.44
3,Stefan Fellner ,15,1,1,22,15,1,1,11,12,1,1,10.5,12,3,3,3,4,9.34
4,Innis Gallagher ,15,1,1,22,15,1,1,11,12,1,1,10.5,8,1,5,7,3,11.55
5,Joe Goodacre ,15,1,1,22,15,1,1,11,12,1,1,10.5,8,1,5,7,3,11.55
6,Corbin Miley ,15,1,1,22,15,1,1,11,12,1,1,10.5,8,1,5,7,3,11.55
7,Devin Wong ,15,1,1,22,15,1,1,11,12,2,21,23,10,3,4,4,3,12.22
8,Luke Davison ,15,1,1,22,15,1,1,11,12,1,1,10.5,8,5,13,13.5,3,13.61
9,Owen Taravella ,15,1,1,22,15,2,22,25,12,1,1,10.5,8,1,5,7,3,14.18
10,Michael Jucewicz ,15,1,1,22,15,1,1,11,12,1,1,10.5,7,6,19,19,3,14.82
11,Vincent Lee ,15,1,1,22,15,1,1,11,12,1,1,10.5,6,2,20,21,3,15.2
12,Ross Fulkerson ,15,1,1,22,15,1,1,11,12,1,1,10.5,5,1,28,31.5,3,16.82
13,Daniel Martins ,15,1,1,22,15,4,30,30,12,1,1,10.5,8,3,12,12,3,16.98
14,Devin Hammonds ,15,1,1,22,15,1,1,11,12,3,26,28.5,8,5,13,13.5,3,17.47
15,Spencer Kapayo ,15,1,1,22,15,1,1,11,12,1,1,10.5,5,3,37,38,3,17.63
16,Nicholas Stuart ,15,1,1,22,15,1,1,11,12,1,1,10.5,5,4,40,40.5,3,17.91
17,Nathaniel Surma ,15,1,1,22,15,1,1,11,12,2,21,23,6,2,20,21,3,18.49
18,Dylan Duregger ,15,1,1,22,15,1,1,11,12,2,21,23,6,2,20,21,3,18.49
19,Benjamin Morrison Roberts ,15,1,1,22,15,1,1,11,12,3,26,28.5,7,5,18,18,3,18.77
20,Elan Eskin ,15,1,1,22,15,2,22,25,12,3,26,28.5,8,2,10,10.5,3,20.14
21,Pablo Hammack ,15,1,1,22,15,2,22,25,12,1,1,10.5,5,1,28,31.5,3,20.65
22,Domingo Jones ,15,1,1,22,15,2,22,25,12,1,1,10.5,5,3,37,38,3,21.64
23,Connor Jansen ,15,1,1,22,15,1,1,11,12,2,21,23,3,4,46,46,3,22.49
24,Griffin Barros-King ,15,1,1,22,15,2,22,25,12,3,26,28.5,5,1,28,31.5,3,26.51
25,Simon Broan ,15,1,1,22,9,1,34,35.5,12,1,1,10.5,8,1,5,7,2,15.48
26,Connor Kapayo ,15,1,1,22,12,1,32,32,12,1,1,10.5,7,3,16,16,2,18.54
27,Coulter Holden ,15,1,1,22,15,1,1,11,11,3,37,37,7,2,15,15,2,19.14
28,Gabriel Laurent ,15,1,1,22,15,1,1,11,5,5,45,45,7,4,17,17,2,20.74
29,Savelei Nemchuk ,15,1,1,22,12,2,33,33,12,1,1,10.5,5,1,28,31.5,2,22.14
30,Charlie Osborne ,15,1,1,22,15,1,1,11,5,3,43,43,5,3,37,38,2,25.08
31,Ashton Hoomans ,15,1,1,22,15,2,22,25,11,1,34,34.5,6,3,23,23.5,2,25.84
32,Noah Burke ,15,1,1,22,15,2,22,25,11,1,34,34.5,6,4,25,25.5,2,26.37
33,Suguru Toyota ,15,1,1,22,9,2,38,39.5,12,3,26,28.5,6,4,25,25.5,2,28.19
34,Wilson Kerr ,15,1,1,22,9,4,42,42,12,5,33,33,6,3,23,23.5,2,29.09
35,Hal Warren ,15,1,1,22,9,1,34,35.5,12,2,21,23,3,2,45,45,2,29.98
36,Ethan Micele ,15,1,1,22,9,1,34,35.5,12,3,26,28.5,5,4,40,40.5,2,30.81
37,Noah Wheeler ,15,1,1,22,15,3,29,29,4,1,46,46.5,5,1,28,31.5,2,31.09
38,Gabriel Krzykwa ,15,1,1,22,8,4,46,46,12,4,32,32,5,1,28,31.5,2,31.78
39,Walker Barkstrom ,15,2,44,44,5,4,48,48,12,1,1,10.5,2,1,49,49,2,32.29
40,Colin Wills ,15,1,1,22,9,2,38,39.5,9,5,39,39,8,2,10,10.5,1,24.42
41,Jared Lawrence ,15,1,1,22,14,1,31,31,7,1,40,40,5,1,28,31.5,1,30.45
42,Hayden Kergosien ,15,1,1,22,9,1,34,35.5,11,2,36,36,4,3,44,44,1,33.35
43,Anthony Petrakis ,15,1,1,22,8,1,43,43,10,5,38,38,5,2,36,36,1,33.73
44,Benjamin Maidman ,15,1,1,22,9,2,38,39.5,4,1,46,46.5,5,5,42,42,1,36.09
45,Ben Blackmore ,10,1,48,48.5,8,3,44,44.5,7,5,41,41,6,5,27,27,,39.32
46,Daniel Perrella Lewellen ,10,1,48,48.5,4,1,49,49,2,1,49,49,5,1,28,31.5,,43.76
47,Ben Roberson ,14,1,45,45.5,7,3,47,47,5,4,44,44,5,6,43,43,,44.85
48,Jacob Hoppe ,14,1,45,45.5,9,2,38,39.5,4,3,48,48,3,5,47,47,,44.87
49,Davis Howland ,14,2,47,47,8,3,44,44.5,5,2,42,42,3,6,48,48,,45.31
