,NAME ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,H I G H ,A T T E M P T S ,R A N K ,P O I N T S ,T O P S ,P O I N T S 
1,Tanner Bauer ,14,1,1,14,14,1,1,6,20,1,1,2,12,1,1,9.5,4,6.32
2,Colin Duffy ,14,1,1,14,14,1,1,6,20,1,1,2,12,1,1,9.5,4,6.32
3,Elliot Wiecek ,14,1,1,14,14,1,1,6,20,1,1,2,12,2,19,22,4,7.8
4,Cody Stevenson ,14,1,1,14,14,1,1,6,20,2,4,4,12,3,26,26.5,4,9.71
5,Leo Costanza ,14,1,1,14,14,1,1,6,18,2,5,5,12,1,1,9.5,3,7.95
6,Zander Waller ,14,1,1,14,14,1,1,6,11,2,11,11,12,1,1,9.5,3,9.68
7,Kyle Stephens ,14,1,1,14,14,2,12,13,14,2,6,7,12,1,1,9.5,3,10.49
8,Connor Herson ,14,1,1,14,14,1,1,6,9,2,17,18,12,1,1,9.5,3,10.95
9,Anthony Lesik ,14,1,1,14,14,2,12,13,11,1,10,10,12,1,1,9.5,3,11.47
10,Ethan Freudenheim ,14,2,28,30,14,1,1,6,11,3,12,13,12,1,1,9.5,3,12.21
11,Ryan Fanchiotti ,14,1,1,14,14,1,1,6,8,1,24,33.5,12,1,1,9.5,3,12.79
12,Ethan Rogers ,14,1,1,14,14,2,12,13,9,3,20,20.5,12,1,1,9.5,3,13.72
13,Isaac Leff ,14,3,33,34,14,1,1,6,8,1,24,33.5,12,1,1,9.5,3,15.96
14,"Michael ""Bug"" D'Amato ",14,1,1,14,14,3,15,15,8,1,24,33.5,12,1,1,9.5,3,16.08
15,Jason Wills ,14,3,33,34,14,4,16,16,8,1,24,33.5,12,2,19,22,3,25.16
16,Ellis Ernsberger ,14,1,1,14,8,1,20,29,14,2,6,7,12,1,1,9.5,2,12.82
17,Le Evans ,14,1,1,14,8,1,20,29,11,3,12,13,12,1,1,9.5,2,14.96
18,Victor Baudrand ,14,1,1,14,14,1,1,6,9,6,23,23,11,1,28,29.5,2,15.45
19,Joshua Gerhardt ,14,1,1,14,8,1,20,29,13,3,9,9,12,2,19,22,2,16.84
20,Lucas Oddi ,14,1,1,14,8,1,20,29,8,1,24,33.5,12,1,1,9.5,2,18.96
21,Ian Davis ,14,1,1,14,8,1,20,29,8,1,24,33.5,12,1,1,9.5,2,18.96
22,Grayson Smith ,14,1,1,14,8,2,39,39.5,8,1,24,33.5,12,1,1,9.5,2,20.48
23,Brian Squire ,14,1,1,14,8,1,20,29,8,1,24,33.5,12,2,19,22,2,23.39
24,Quinn O'Francia ,14,1,1,14,8,1,20,29,8,1,24,33.5,12,2,19,22,2,23.39
25,Sutton Warmkessel ,14,3,33,34,6,2,47,47,8,1,24,33.5,12,1,1,9.5,2,26.7
26,Benjamin Dantas ,14,1,1,14,7,2,44,44,8,1,24,33.5,12,3,26,26.5,2,27.19
27,Hobbs Kessler ,14,2,28,30,8,2,39,39.5,8,1,24,33.5,12,2,19,22,2,30.57
28,Bryce Robbins ,14,2,28,30,12,5,18,18,14,2,6,7,8,5,42,42,1,19.96
29,Samuel Adams ,14,1,1,14,11,2,19,19,9,1,16,16,8,6,43,43,1,20.68
30,Chris Deuto ,14,1,1,14,12,3,17,17,8,1,24,33.5,11,1,28,29.5,1,22.02
31,Paris Liston ,14,1,1,14,8,1,20,29,9,4,22,22,7,4,44,44,1,25.04
32,Daniel Seo ,12,1,36,39.5,8,1,20,29,9,3,20,20.5,12,2,19,22,1,26.81
33,Cedar Holden ,14,1,1,14,8,1,20,29,8,1,24,33.5,5,1,46,46,1,28.12
34,Ty Collin ,14,1,1,14,8,1,20,29,8,6,48,48,11,2,32,32.5,1,28.21
35,Nicolas Bancker ,14,2,28,30,8,4,41,42,11,4,15,15,9,2,34,34.5,1,28.42
36,Alex Hill ,14,2,28,30,8,1,20,29,8,1,24,33.5,9,4,37,37.5,1,32.33
37,Zachary Blue ,12,1,36,39.5,8,1,20,29,11,3,12,13,5,3,47,47,,28.92
38,Zachary Alin-Hvidsten ,7,1,48,48,8,1,20,29,9,2,17,18,11,1,28,29.5,,29.32
39,David Kwon ,12,1,36,39.5,8,1,20,29,9,2,17,18,6,4,45,45,,31.04
40,Leo Holt ,12,1,36,39.5,8,1,20,29,8,1,24,33.5,11,2,32,32.5,,33.42
41,Brady Pfeiffer ,12,1,36,39.5,8,1,20,29,8,1,24,33.5,8,1,39,40,,35.2
42,Alex Petty ,12,2,44,44,8,1,20,29,8,1,24,33.5,8,1,39,40,,36.16
43,Ari Blumberg ,12,1,36,39.5,8,4,41,42,8,1,24,33.5,9,4,37,37.5,,38
44,Thomas Briley ,9,1,47,47,8,1,20,29,8,3,47,47,9,3,36,36,,38.97
45,Dylan Leith ,12,1,36,39.5,7,6,46,46,8,1,24,33.5,8,1,39,40,,39.5
46,Jacob Mccann ,12,3,45,45.5,7,4,45,45,8,2,44,45,11,1,28,29.5,,40.6
47,Benjamin Martin ,12,1,36,39.5,6,6,48,48,8,2,44,45,9,2,34,34.5,,41.42
48,Domenic Durso ,12,3,45,45.5,8,4,41,42,8,2,44,45,4,1,48,48,,45.07
